date,NO_15,Fe_15,cyan_15,diato_15
"January,2015",14.152442,0.0004411491,0.08207177,0.09358109
"February,2015",14.322478,0.00045321792,0.060882498,0.13583142
"March,2015",14.1248455,0.0004379404,0.051853105,0.13078488
"April,2015",13.143054,0.00040956415,0.052567296,0.049497288
"May,2015",12.489046,0.00040043387,0.047822762,0.027961243
"June,2015",12.2852335,0.0004094578,0.056723077,0.029091235
"July,2015",12.51832,0.00042628098,0.07038637,0.03905479
"August,2015",12.809035,0.00043890974,0.09103966,0.050452303
"September,2015",12.62057,0.00045226302,0.10814789,0.045039896
"October,2015",12.326035,0.00045230973,0.108817056,0.03277931
"November,2015",12.1712675,0.0004465857,0.114457235,0.019573906
"December,2015",12.013481,0.00043479953,0.105730064,0.019763062
